MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA,price_per_sqft,tax_price_ratio,HOA_category
21500702,1460000.0,85718,-110.911074,32.33693,0.96,9673.0,2005-01-01,4,4.0,5876.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone, Wood, Other",57.0,248.46834581347855,0.006625342465753425,Low
21723688,1501313.0,85755,-110.984149,32.462969,0.32,900.22,2017-01-01,3,4.0,2880.0,3.0,"Dishwasher, Electric Range, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Wet Bar",1.0,Ceramic Tile,195.0,521.2892361111111,0.0005996217977197293,Medium
21411901,1425000.0,85742,-111.028678,32.367553,3.35,10882.0,2008-01-01,5,7.0,6196.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone, Wood",150.0,229.9870884441575,0.007636491228070175,Medium
21125313,1100000.0,85755,-110.992897,32.461571,1.39,19156.0,2001-01-01,4,4.0,5164.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",153.0,213.01316808675446,0.017414545454545453,Medium
21204398,1262500.0,85718,-110.926187,32.295751,1.0,9066.64,2007-01-01,4,5.0,4556.0,3.0,"Dishwasher, Refrigerator, Oven",2.0,Concrete,0.0,277.1071115013169,0.0071814970297029695,No HOA
21800167,1400000.0,85718,-110.889886,32.328108,1.2,11063.08,2001-01-01,4,5.0,5077.0,3.0,"Dishwasher, Double Sink, Freezer, Garbage Disposal, Island, Refrigerator, Warming Drawer",2.0,"Carpet, Ceramic Tile, Concrete, Wood",258.0,275.75339767579277,0.0079022,Medium
21724288,1575042.0,85658,-111.095457,32.467996,0.48,500.0,2017-01-01,3,3.0,3200.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Refrigerator, Wet Bar",2.0,Other: Tile,550.0,492.200625,0.0003174518520775954,High
21827487,1450000.0,85718,-110.879625,32.326003,1.15,4739.6,2018-01-01,4,5.0,3315.0,3.0,"Dishwasher, Garbage Disposal, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless",1.0,Other: Porcelain Tile,258.0,437.40573152337856,0.003268689655172414,Medium
21528700,1450000.0,85718,-110.923416,32.28454,2.0,13482.84,2008-01-01,4,6.0,5701.0,4.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Natural Stone, Wood",194.0,254.34134362392564,0.009298510344827586,Medium
21629809,1412500.0,85755,-110.993478,32.462181,0.91,13425.2,2006-01-01,3,6.0,4314.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",194.0,327.4223458507186,0.009504566371681417,Medium
21312619,1390000.0,85718,-110.93843,32.340463,1.2,12916.54,2006-01-01,3,4.0,4737.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Other",160.0,293.4346632890015,0.009292474820143885,Medium
21726360,1450000.0,85750,-110.84004,32.319159,0.7,16519.0,1996-01-01,4,6.0,6850.0,3.0,"Dishwasher, Gas Range, Refrigerator, Countertops: Granite",3.0,"Carpet, Natural Stone, Wood",142.0,211.67883211678833,0.011392413793103448,Medium
